Rank,Country Code,Gold Medal,Silver Medal,Bronze Medal
1,USA,39,41,33
2,CHN,38,32,18
3,JPN,27,14,17
4,GBR,22,21,22
5,ROC,20,28,23
6,AUS,17,7,22
7,NED,10,12,14
8,FRA,10,12,11
9,GER,10,11,16
10,ITA,10,10,20
11,CAN,7,6,11
12,BRA,7,6,8
13,NZL,7,6,7
14,CUB,7,3,5
15,HUN,6,7,7
16,KOR,6,4,10
17,POL,4,5,5
18,CZE,4,4,3
19,KEN,4,4,2
20,NOR,4,2,2
21,JAM,4,1,4
22,ESP,3,8,6
23,SWE,3,6,0
24,SUI,3,4,6
25,DEN,3,4,4
26,CRO,3,3,2
27,IRI,3,2,2
28,SRB,3,1,5
29,BEL,3,1,3
30,BUL,3,1,2
31,SLO,3,1,1
32,UZB,3,0,2
33,GEO,2,5,1
34,TPE,2,4,6
35,TUR,2,2,9
36,GRE,2,1,1
37,UGA,2,1,1
38,ECU,2,1,0
39,IRL,2,0,2
40,ISR,2,0,2
41,QAT,2,0,1
42,BAH,2,0,0
43,KOS,2,0,0
44,UKR,1,6,12
45,BLR,1,3,3
46,ROU,1,3,0
47,VEN,1,3,0
48,IND,1,2,4
49,HKG,1,2,3
50,PHI,1,2,1
51,SVK,1,2,1
52,RSA,1,2,0
53,AUT,1,1,5
54,EGY,1,1,4
55,INA,1,1,3
56,ETH,1,1,2
57,POR,1,1,2
58,TUN,1,1,0
59,EST,1,0,1
60,FIJ,1,0,1
61,LAT,1,0,1
62,THA,1,0,1
63,BER,1,0,0
64,MAR,1,0,0
65,PUR,1,0,0
66,COL,0,4,1
67,AZE,0,3,4
68,DOM,0,3,2
69,ARM,0,2,2
70,KGZ,0,2,1
71,MGL,0,1,3
72,ARG,0,1,2
73,SMR,0,1,2
74,JOR,0,1,1
75,MAS,0,1,1
76,NGR,0,1,1
77,BRN,0,1,0
78,KSA,0,1,0
79,LTU,0,1,0
80,MKD,0,1,0
81,NAM,0,1,0
82,TKM,0,1,0
83,KAZ,0,0,8
84,MEX,0,0,4
85,FIN,0,0,2
86,BOT,0,0,1
87,BUR,0,0,1
88,CIV,0,0,1
89,GHA,0,0,1
90,GRN,0,0,1
91,KUW,0,0,1
92,MDA,0,0,1
93,SYR,0,0,1
